	Descricao
397	ABRAC NYLON PRETA 4,8 X 380 - 50 PCS
398	ABRAC NYLON PRETA 4,8 X 450 50 PC FERTAK
399	ABRAC NYLON PRETA 4,8 X 500 - 50 PCS
400	ABRAC NYLON PRETA 7,6 X 200 - 50 PCS
401	ABRAC NYLON PRETA 7,6 X 250 - 50 PCS
402	ABRAC NYLON PRETA 7,6 X 300 - 50 PCS
403	ABRAC NYLON PRETA 7,6 X 350 - 50 PCS
404	ABRAC NYLON PRETA 7,6X400 50 PCS FERTAK
405	ABRAC NYLON PRETA 7,6X450 50 PCS FERTAK
406	ABRAC NYLON PRETA 7,6X500 50 PCS FERTAK
407	ZARCOFER ANTICORROSIVO LARANJA 3,6L
408	ZARCOFER ANTICORROSIVO PRETO 3,6L
409	ABRAC NYLON BRANCA 3,5X280 100 PCS FERTK
410	ALICATE DE PRESSAO BOCA RETA 10 FERTAK
411	ALICATE DIAGONAL HOBBY 6 POLIDO FERTAK
412	ALICATE REBITADOR 10 FERTAK
413	ALICATE MEIA CANA HOBBY 6 POLIDO FERTAK
414	ALICATE UNIVERSAL HOBBY 8" POLIDO
415	APLICADOR DE SILICONE 9 FERTAK
416	ARCO DE SERRA 12 HOBBY - CABO PLASTICO
417	BOCAL PORCELANA E27 C/ BORNE PARA PAFLON
418	BOCAL TERMOPL BR E27 PEND C RABICH FERTA
419	BOCAL TERMOPL PT E27. ADAPT MACHO FERTAK
420	BOCAL TERMOPL PR E27 PEND C RABICH FERTA
421	BROCA CHATA C 3/8 X150 MM 9.53MM FERTAK
422	BROCA CHATA E 1/2X150 MM 12.70MM FERTAK
423	BROCA CHATA G 5/8 X 150 MM (15.87MM)
424	BROCA CHATA H 3/4 X 150 MM (19.05MM)
425	LAMINA SERRA PARA ARCO 12 FERTAK
426	CHAVE COMBINADA 06 MM FERTAK
427	CHAVE COMBINADA 07 MM FERTAK
428	CHAVE COMBINADA 08 MM - FERTAK
429	CHAVE COMBINADA 09 MM FERTAK
430	CHAVE COMBINADA 10 MM FERTAK
431	CHAVE COMBINADA 11 MM FERTAK
432	CHAVE COMBINADA 12 MM FERTAK
433	CHAVE COMBINADA 13 MM FERTAK
434	CHAVE COMBINADA 14 MM FERTAK
435	ESCADA RES 6 DEGRAUS LIDER
436	ESCADA RES 5 DEGRAUS LIDER
437	ESCADA RES 3 DEGRAUS LIDER
438	ESCADA RES 9 DEGRAUS LIDER
439	CHAVE COMBINADA 15 MM FERTAK
440	ESCADA RES 7 DEGRAUS LIDER
